nama_bank,nama_aplikasi,jumlah_terinstall,banyak_rating,banyak_pengulas,rerata_rating,developer
Bank Mandiri,Livin' by Mandiri,31661430,567342,249159,4.029726,PT Bank Mandiri (Persero) Tbk
BRI,BRImo BRI,55117362,1513519,694728,4.6806426,PT Bank Rakyat Indonesia (Persero) Tbk.
BCA,BCA mobile,62432902,1304838,533128,4.0334806,PT Bank Central Asia Tbk.
BNI,BNI Mobile Banking,27186644,1040885,250895,4.5866947,PT Bank Negara Indonesia (Persero) Tbk.
BSI,BSI Mobile,11510998,198200,132529,3.7455227,"PT Bank Syariah Indonesia, Tbk."
